ID,VERSION,STORE_ID,UUID,TRANSACTION_ID,TYPE_QNAME_ID,LOCALE_ID,ACL_ID,AUDIT_CREATOR,AUDIT_CREATED,AUDIT_MODIFIER,AUDIT_MODIFIED,AUDIT_ACCESSED
3431935,3,6,e5e354d2-6770-482e-bd6d-c69532e7ea0c,1167694,258,2,66,bvos,2020-08-19T11:44:40.988Z,bvos,2020-08-19T11:44:40.988Z,
3468207,3,6,f8cb978c-ce89-46ac-903c-3502f63b62f9,1179993,258,2,66,bvos,2020-08-19T12:13:49.975Z,bvos,2020-08-19T12:13:49.975Z,
3427766,3,6,45ae954f-0b28-40fb-90d4-286e0648b870,1166290,258,2,66,bvos,2020-08-19T11:41:16.256Z,bvos,2020-08-19T11:41:16.256Z,
3466301,3,6,fc47b8fb-86fa-4fa0-a461-69fab58c79e4,1179354,258,2,66,bvos,2020-08-19T12:12:19.969Z,bvos,2020-08-19T12:12:19.969Z,
3471713,3,6,b0c815e1-795c-48a7-a495-691891a0e63e,1181184,258,2,66,bvos,2020-08-19T12:16:39.475Z,bvos,2020-08-19T12:16:39.475Z,
3446631,3,6,e52628bb-1598-47bb-a5ae-6fcc5c54d05c,1172688,258,2,66,bvos,2020-08-19T11:56:33.923Z,bvos,2020-08-19T11:56:33.923Z,
3457206,3,6,271d5b30-662a-4e1e-b18a-0b03db500c4c,1176278,258,2,66,bvos,2020-08-19T12:04:59.211Z,bvos,2020-08-19T12:04:59.211Z,
3440820,3,6,f885a74b-390f-46ce-9fc7-807c5d19f92b,1170711,258,2,66,bvos,2020-08-19T11:52:01.248Z,bvos,2020-08-19T11:52:01.248Z,
3440855,3,6,9bc17903-0cb0-43d7-91a7-0addeabc93f8,1170724,258,2,66,bvos,2020-08-19T11:52:03.994Z,bvos,2020-08-19T11:52:03.994Z,
3475552,3,6,0ce7ef54-e064-4b65-8afd-6385d50a066f,1182480,258,2,66,bvos,2020-08-19T12:20:05.728Z,bvos,2020-08-19T12:20:05.728Z,
3536325,3,6,10e993c2-a234-4960-9e76-f84cddd0d98d,1203405,258,2,66,bvos,2020-08-20T07:22:39.063Z,bvos,2020-08-20T07:22:39.063Z,
3486973,3,6,6c1d8627-3717-4080-bf01-06044441d9e5,1186339,258,2,66,bvos,2020-08-19T12:28:07.882Z,bvos,2020-08-19T12:28:07.882Z,
3533616,3,6,57844932-f879-42b1-8c79-cbd78f094f3f,1202485,258,2,66,bvos,2020-08-20T07:20:52.333Z,bvos,2020-08-20T07:20:52.333Z,
3530535,3,6,8035f05e-8c06-47c2-972c-75dc3ff25560,1201450,258,2,66,bvos,2020-08-20T07:18:54.679Z,bvos,2020-08-20T07:18:54.679Z,
3525863,3,6,2a3b2578-b0b9-4d3e-8726-c2bd48dd5624,1199871,258,2,66,bvos,2020-08-20T07:15:56.725Z,bvos,2020-08-20T07:15:56.725Z,
3502102,3,6,1e9ca467-9137-4ab5-ab86-f2be1c045955,1191448,258,2,66,bvos,2020-08-19T15:43:52.389Z,bvos,2020-08-19T15:43:52.389Z,
3501876,3,6,7fde1bb1-14ba-4e0c-b034-24965ec10d3d,1191368,258,2,66,bvos,2020-08-19T14:40:53.865Z,bvos,2020-08-19T14:40:53.865Z,
3507354,3,6,175593bf-8133-438f-aedf-6f95e28e7579,1193297,258,2,66,bvos,2020-08-20T05:30:09.999Z,bvos,2020-08-20T05:30:09.999Z,
3488179,3,6,d13cc204-0e17-48b9-8d63-a72e62547c11,1186743,258,2,66,bvos,2020-08-19T12:28:47.897Z,bvos,2020-08-19T12:28:47.897Z,
3511016,3,6,5f5eec9a-b414-43e8-b3cc-08e5a280085c,1194743,258,2,66,bvos,2020-08-20T07:05:25.281Z,bvos,2020-08-20T07:05:25.281Z,
3487927,3,6,f64d97d2-7453-4a23-aa7e-0bf5c2c4617a,1186661,258,2,66,bvos,2020-08-19T12:28:39.924Z,bvos,2020-08-19T12:28:39.924Z,
3512262,3,6,6aada439-bad6-4dad-b0f4-992dcdbb4acc,1195205,258,2,66,bvos,2020-08-20T07:06:38.787Z,bvos,2020-08-20T07:06:38.787Z,
3503210,3,6,c875cf1f-d2af-4adb-82d7-8204b29aabe3,1191838,258,2,66,bvos,2020-08-19T19:32:02.587Z,bvos,2020-08-19T19:32:02.587Z,
3520167,3,6,c751884a-f6a4-4cb0-804f-565f0d78036d,1197946,258,2,66,bvos,2020-08-20T07:12:07.502Z,bvos,2020-08-20T07:12:07.502Z,
3534807,3,6,b08642a3-9d13-48f1-984e-43bf6bff6f2e,1202893,258,2,66,bvos,2020-08-20T07:21:38.665Z,bvos,2020-08-20T07:21:38.665Z,
3559545,3,6,a788036f-75d9-4c09-98d0-445233cb2842,1211261,258,2,66,bvos,2020-08-20T07:37:52.186Z,bvos,2020-08-20T07:37:52.186Z,
3590435,3,6,ed928dec-8281-4ba8-b53a-04cefa021ec6,1221806,258,2,66,bvos,2020-08-20T07:58:33.686Z,bvos,2020-08-20T07:58:33.686Z,
3577087,3,6,22487964-3a9d-49fc-beba-fa7cca5cd789,1217233,258,2,66,bvos,2020-08-20T07:49:40.538Z,bvos,2020-08-20T07:49:40.538Z,
3590754,3,6,adf46f00-fcc9-4d8e-b3f7-c6a71f58a404,1221913,258,2,66,bvos,2020-08-20T07:58:43.855Z,bvos,2020-08-20T07:58:43.855Z,
